epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,796.248,0.58365,0.54043,1.00985,0.74259,0.57778,0.67797,0.44398,0.96956,1.46266,1.44179,0.000676802,0.000676802,0.000676802
92,804.279,0.62578,0.56116,1.03678,0.77192,0.65,0.66932,0.44,1.01904,1.69629,1.44274,0.0006658,0.0006658,0.0006658
93,811.905,0.62239,0.58478,1.03696,0.80761,0.65576,0.69773,0.46916,0.9999,1.57825,1.42258,0.000654798,0.000654798,0.000654798
94,819.992,0.62751,0.53626,1.04111,0.68291,0.71944,0.7051,0.4633,0.98507,1.46572,1.42587,0.000643795,0.000643795,0.000643795
95,827.72,0.60336,0.55645,1.04202,0.6504,0.80328,0.71717,0.45379,1.01408,1.41291,1.4454,0.000632793,0.000632793,0.000632793
96,835.639,0.61466,0.53321,1.03063,0.62324,0.67996,0.68834,0.43101,1.0141,1.3985,1.44714,0.000621791,0.000621791,0.000621791
97,843.19,0.62836,0.61437,1.03742,0.82106,0.57642,0.6871,0.47172,1.03287,1.45684,1.4873,0.000610789,0.000610789,0.000610789
98,850.982,0.63169,0.57733,1.0445,0.85644,0.57778,0.6796,0.50357,0.96507,1.32417,1.44602,0.000599787,0.000599787,0.000599787
99,858.525,0.58804,0.53756,1.01772,0.61841,0.775,0.68288,0.47129,1.00146,1.30758,1.51342,0.000588784,0.000588784,0.000588784
100,866.267,0.57886,0.52214,1.01897,0.69401,0.86435,0.78689,0.50663,0.94708,1.27811,1.47187,0.000577782,0.000577782,0.000577782
101,873.765,0.61199,0.55138,1.03236,0.86335,0.85246,0.84344,0.5631,0.97582,1.17141,1.42909,0.00056678,0.00056678,0.00056678
102,882.452,0.60228,0.51721,1.05037,0.86365,0.65,0.80217,0.48989,1.02952,1.30998,1.43344,0.000555778,0.000555778,0.000555778
103,891.359,0.58491,0.52496,1.02266,0.78753,0.7467,0.80328,0.55615,0.96647,1.4612,1.3768,0.000544776,0.000544776,0.000544776
104,901.168,0.5592,0.47627,0.9967,0.70107,0.8197,0.74746,0.47355,1.05271,1.37476,1.45754,0.000533773,0.000533773,0.000533773
105,909.251,0.5736,0.54006,0.99956,0.75496,0.76724,0.76854,0.42662,1.0285,1.28321,1.49447,0.000522771,0.000522771,0.000522771
106,919.93,0.56872,0.4927,1.02676,0.76137,0.77623,0.79504,0.49204,0.97752,1.19026,1.43177,0.000511769,0.000511769,0.000511769
107,928.144,0.6118,0.50736,1.04123,0.7973,0.69167,0.8256,0.51075,1.04697,1.19528,1.49124,0.000500767,0.000500767,0.000500767
108,936.011,0.55213,0.48306,0.99368,0.7187,0.81944,0.81465,0.5235,0.99539,1.21697,1.48496,0.000489765,0.000489765,0.000489765
109,944.336,0.48715,0.422,0.95246,0.75295,0.78582,0.83056,0.51652,0.98334,1.31824,1.46164,0.000478762,0.000478762,0.000478762
110,952.138,0.62599,0.53604,1.05148,0.70392,0.86522,0.82937,0.51997,0.99645,1.30383,1.45748,0.00046776,0.00046776,0.00046776
111,960.132,0.54805,0.47089,0.98517,0.77477,0.69167,0.74037,0.48807,1.00014,1.38793,1.43654,0.000456758,0.000456758,0.000456758
112,967.903,0.52633,0.47971,0.98307,0.6594,0.74722,0.69844,0.48983,0.96369,1.38777,1.42646,0.000445756,0.000445756,0.000445756
113,975.861,0.49742,0.45965,0.9717,0.72019,0.64945,0.67793,0.44871,1.01486,1.44998,1.46983,0.000434754,0.000434754,0.000434754
114,983.818,0.5262,0.49726,1.00067,0.62889,0.6592,0.65962,0.44682,1.10928,1.46086,1.55357,0.000423751,0.000423751,0.000423751
115,991.785,0.54774,0.48692,1.00803,0.65711,0.71336,0.70459,0.47101,1.14962,1.36011,1.62891,0.000412749,0.000412749,0.000412749
116,999.746,0.53923,0.45145,0.99131,0.6886,0.74722,0.69518,0.46054,1.10269,1.39907,1.60745,0.000401747,0.000401747,0.000401747
117,1007.73,0.52813,0.48883,1.0024,0.73206,0.65,0.67003,0.44372,1.07791,1.47088,1.57392,0.000390745,0.000390745,0.000390745
118,1016.07,0.55686,0.47035,0.99951,0.7641,0.71944,0.69992,0.46416,1.03722,1.30081,1.53158,0.000379743,0.000379743,0.000379743
119,1023.91,0.51679,0.47937,0.98682,0.68171,0.82311,0.79141,0.47977,1.07507,1.35931,1.54146,0.00036874,0.00036874,0.00036874
120,1032.08,0.49612,0.44758,0.97628,0.70218,0.83333,0.78591,0.49397,1.03225,1.3672,1.51874,0.000357738,0.000357738,0.000357738
121,1039.94,0.51244,0.44883,0.97902,0.67107,0.80222,0.75932,0.47076,1.03375,1.42873,1.52417,0.000346736,0.000346736,0.000346736
122,1048.25,0.50797,0.4431,0.97435,0.81608,0.6824,0.77772,0.50008,1.04709,1.30576,1.54422,0.000335734,0.000335734,0.000335734
123,1055.99,0.51543,0.44338,0.98887,0.78482,0.71944,0.78242,0.51773,1.08453,1.30742,1.58053,0.000324732,0.000324732,0.000324732
124,1063.97,0.4693,0.40631,0.95852,0.86304,0.6698,0.78163,0.50998,1.11111,1.38096,1.60062,0.000313729,0.000313729,0.000313729
125,1072.16,0.49831,0.44028,0.97333,0.85397,0.67476,0.78264,0.51335,1.10645,1.34757,1.59072,0.000302727,0.000302727,0.000302727
126,1080.03,0.51083,0.41314,0.97578,0.76847,0.788,0.81212,0.52588,1.08329,1.42404,1.57209,0.000291725,0.000291725,0.000291725
127,1087.59,0.4983,0.40488,0.9839,0.77515,0.79167,0.78059,0.52511,1.06303,1.45194,1.55958,0.000280723,0.000280723,0.000280723
128,1095.61,0.49529,0.42303,0.96754,0.77448,0.77476,0.73325,0.48601,1.10299,1.58223,1.61435,0.000269721,0.000269721,0.000269721
129,1103.23,0.48611,0.41273,0.97824,0.75098,0.76389,0.72824,0.46407,1.12196,1.60497,1.6483,0.000258718,0.000258718,0.000258718
130,1111.31,0.48635,0.38812,0.97346,0.73443,0.76389,0.71965,0.48189,1.12971,1.57642,1.66607,0.000247716,0.000247716,0.000247716
131,1119.02,0.48389,0.38521,0.97148,0.72082,0.76389,0.73072,0.49608,1.09095,1.56945,1.61014,0.000236714,0.000236714,0.000236714
132,1126.98,0.4637,0.40442,0.96562,0.73632,0.77778,0.74385,0.51706,1.04048,1.50668,1.57149,0.000225712,0.000225712,0.000225712
133,1134.55,0.4868,0.4162,0.97109,0.75512,0.81944,0.74981,0.5186,1.02861,1.47018,1.56541,0.00021471,0.00021471,0.00021471
134,1142.51,0.47716,0.39055,0.96458,0.75566,0.80598,0.75916,0.52315,1.02761,1.43765,1.56238,0.000203707,0.000203707,0.000203707
135,1150.13,0.45975,0.38451,0.95956,0.71607,0.80234,0.75521,0.51148,1.00204,1.40055,1.54226,0.000192705,0.000192705,0.000192705
136,1157.98,0.46746,0.38661,0.96091,0.71037,0.80318,0.73978,0.5044,1.03237,1.46297,1.55704,0.000181703,0.000181703,0.000181703
137,1165.55,0.4476,0.36465,0.95378,0.71506,0.79916,0.73542,0.50023,1.07589,1.50561,1.58538,0.000170701,0.000170701,0.000170701
138,1173.79,0.45242,0.37848,0.96369,0.67621,0.80556,0.75386,0.49759,1.08244,1.50968,1.59008,0.000159699,0.000159699,0.000159699
139,1184.26,0.44257,0.37629,0.94729,0.72406,0.76034,0.74791,0.50569,1.1011,1.59039,1.60927,0.000148696,0.000148696,0.000148696
140,1192.53,0.45905,0.38154,0.96132,0.72679,0.77609,0.74178,0.50677,1.11569,1.58791,1.62779,0.000137694,0.000137694,0.000137694
141,1206.77,0.342,0.3388,0.90051,0.72005,0.79657,0.74801,0.50438,1.09981,1.57796,1.61459,0.000126692,0.000126692,0.000126692
142,1215.17,0.35346,0.33215,0.91248,0.71356,0.82721,0.7555,0.5239,1.07474,1.53148,1.59878,0.00011569,0.00011569,0.00011569
143,1223.61,0.35077,0.32411,0.91057,0.74077,0.8178,0.76342,0.52105,1.06609,1.53625,1.57639,0.000104688,0.000104688,0.000104688
144,1232.92,0.33467,0.30483,0.88712,0.72246,0.82548,0.75591,0.49112,1.0516,1.47919,1.56499,9.36854e-05,9.36854e-05,9.36854e-05
145,1243.31,0.31862,0.28552,0.90657,0.71295,0.79809,0.7504,0.48545,1.04768,1.47114,1.55763,8.26832e-05,8.26832e-05,8.26832e-05
146,1251.57,0.32589,0.28258,0.87678,0.71051,0.81214,0.75776,0.49598,1.04488,1.47051,1.54945,7.1681e-05,7.1681e-05,7.1681e-05
147,1260.08,0.33311,0.29567,0.88097,0.71615,0.80938,0.75712,0.51958,1.04202,1.46751,1.54952,6.06788e-05,6.06788e-05,6.06788e-05
148,1268.47,0.29768,0.26942,0.84372,0.74855,0.77649,0.75723,0.50375,1.03485,1.46392,1.54876,4.96766e-05,4.96766e-05,4.96766e-05
149,1276.57,0.31735,0.27159,0.87898,0.75839,0.78409,0.75882,0.51425,1.03062,1.46574,1.54936,3.86744e-05,3.86744e-05,3.86744e-05
150,1288.61,0.30583,0.27803,0.88664,0.75804,0.78209,0.77445,0.52837,1.02853,1.45838,1.55334,2.76722e-05,2.76722e-05,2.76722e-05
