epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,473.421,0.84659,0.89627,1.17247,0.38952,0.64722,0.39622,0.26762,1.19615,2.07579,1.658,0.000990365,0.000990365,0.000990365
43,495.401,0.81732,0.85731,1.15559,0.41553,0.66111,0.42282,0.29622,1.12945,1.7581,1.64813,0.000973861,0.000973861,0.000973861
44,505.427,0.8406,0.87298,1.18896,0.55988,0.48692,0.51121,0.35653,1.165,1.30675,1.60477,0.000957358,0.000957358,0.000957358
45,526.011,0.82172,0.87527,1.14844,0.42881,0.66252,0.46608,0.32556,1.14305,1.5523,1.52915,0.000940855,0.000940855,0.000940855
46,536.95,0.82808,0.86472,1.15471,0.69583,0.54722,0.57797,0.40095,1.06886,1.95622,1.48014,0.000924352,0.000924352,0.000924352
47,547.372,0.80244,0.8689,1.14889,0.74464,0.46389,0.62167,0.43017,1.12308,1.53558,1.56643,0.000907848,0.000907848,0.000907848
48,557.063,0.74859,0.77918,1.12105,0.67854,0.63841,0.60014,0.42627,1.10359,1.97451,1.5576,0.000891345,0.000891345,0.000891345
49,568.281,0.76435,0.77714,1.12376,0.59877,0.58744,0.65569,0.45447,1.19414,1.49733,1.63028,0.000874842,0.000874842,0.000874842
50,576.279,0.79862,0.81532,1.15043,0.55166,0.77096,0.66139,0.45122,1.17083,1.49836,1.57456,0.000858338,0.000858338,0.000858338
51,584.415,0.77809,0.7619,1.13247,0.75403,0.70556,0.76934,0.58369,1.06722,1.66585,1.45283,0.000841835,0.000841835,0.000841835
52,594.092,0.7758,0.75827,1.12711,0.73742,0.75756,0.79262,0.5462,1.01816,1.48147,1.39757,0.000825332,0.000825332,0.000825332
53,604.631,0.79094,0.83777,1.15246,0.7311,0.6898,0.77426,0.51898,0.9962,1.39199,1.34716,0.000808828,0.000808828,0.000808828
54,612.637,0.73992,0.70971,1.09772,0.76799,0.63333,0.76601,0.43662,0.99538,1.70791,1.41907,0.000792325,0.000792325,0.000792325
55,626.772,0.76793,0.71785,1.09817,0.65657,0.71754,0.75464,0.52796,1.00399,1.60511,1.39603,0.000775822,0.000775822,0.000775822
56,637.121,0.77544,0.82906,1.1451,0.61523,0.775,0.66613,0.46585,0.94684,1.71728,1.37574,0.000759318,0.000759318,0.000759318
57,648.044,0.72481,0.76275,1.10977,0.60619,0.74722,0.68441,0.48561,1.02299,1.84696,1.51539,0.000742815,0.000742815,0.000742815
58,657.344,0.74286,0.70668,1.09422,0.76959,0.67765,0.73691,0.54142,1.14649,1.51124,1.61092,0.000726312,0.000726312,0.000726312
59,665.805,0.74334,0.72896,1.10628,0.81989,0.72222,0.78238,0.55554,1.05053,1.45832,1.5273,0.000709809,0.000709809,0.000709809
60,674.046,0.70285,0.68857,1.09075,0.80464,0.80412,0.80801,0.59642,1.03029,1.46722,1.50981,0.000693305,0.000693305,0.000693305
61,683.02,0.6942,0.68537,1.08961,0.83849,0.80037,0.82349,0.5867,1.01759,1.27991,1.5213,0.000676802,0.000676802,0.000676802
62,691.318,0.70359,0.634,1.07721,0.83378,0.75984,0.83554,0.55543,0.99641,1.21915,1.50101,0.000660299,0.000660299,0.000660299
63,699.546,0.70778,0.68713,1.10472,0.88322,0.67778,0.7952,0.52395,0.9483,1.28027,1.43457,0.000643795,0.000643795,0.000643795
64,708.519,0.67213,0.66926,1.07224,0.84221,0.74722,0.78873,0.49635,1.04671,1.3703,1.50708,0.000627292,0.000627292,0.000627292
65,718.787,0.64994,0.62316,1.04666,0.8543,0.70814,0.7901,0.51428,1.08217,1.34224,1.53775,0.000610789,0.000610789,0.000610789
66,734.846,0.69535,0.63673,1.07132,0.72894,0.69167,0.74858,0.48144,1.04739,1.44242,1.49617,0.000594286,0.000594286,0.000594286
67,745.025,0.64007,0.63428,1.04475,0.68442,0.72914,0.74663,0.46227,1.04733,1.33761,1.46607,0.000577782,0.000577782,0.000577782
68,756.212,0.63215,0.61174,1.04301,0.69954,0.70717,0.67895,0.43902,1.00321,1.32689,1.36801,0.000561279,0.000561279,0.000561279
69,766.365,0.6266,0.54792,1.03957,0.76532,0.64209,0.64423,0.45171,0.9582,1.27941,1.35501,0.000544776,0.000544776,0.000544776
70,776.725,0.67867,0.64861,1.07746,0.72307,0.57937,0.61445,0.43987,0.97054,1.21922,1.40649,0.000528272,0.000528272,0.000528272
71,787.11,0.60973,0.58564,1.02887,0.73578,0.59345,0.61154,0.45447,0.99138,1.1693,1.4514,0.000511769,0.000511769,0.000511769
72,795.288,0.6308,0.581,1.03541,0.62589,0.76929,0.74572,0.53653,1.02025,1.20722,1.54028,0.000495266,0.000495266,0.000495266
73,808.965,0.60117,0.59751,1.02661,0.69632,0.74722,0.79145,0.54311,1.00916,1.26285,1.54497,0.000478762,0.000478762,0.000478762
74,819.477,0.62143,0.59117,1.03322,0.81898,0.66389,0.79198,0.51563,1.01105,1.24999,1.49438,0.000462259,0.000462259,0.000462259
75,830.039,0.59711,0.55045,1.01386,0.80669,0.62382,0.79144,0.52693,1.03222,1.27623,1.50828,0.000445756,0.000445756,0.000445756
76,842.208,0.59255,0.57712,1.00391,0.77008,0.84722,0.82078,0.54961,1.01039,1.23227,1.46798,0.000429253,0.000429253,0.000429253
77,850.727,0.60078,0.55543,1.03288,0.86674,0.82156,0.83789,0.58243,0.99634,1.20587,1.4122,0.000412749,0.000412749,0.000412749
78,860.406,0.61848,0.551,1.03392,0.82194,0.86651,0.83656,0.62654,0.92319,1.17132,1.3511,0.000396246,0.000396246,0.000396246
79,870.82,0.5767,0.55307,1.01713,0.78259,0.89025,0.83855,0.61868,0.89216,1.1928,1.31452,0.000379743,0.000379743,0.000379743
80,881.331,0.5805,0.49604,1.0155,0.79539,0.85179,0.81098,0.60391,0.9145,1.31785,1.30571,0.000363239,0.000363239,0.000363239
81,890.385,0.61673,0.56436,1.02625,0.80364,0.78852,0.78267,0.57898,0.97622,1.48972,1.37305,0.000346736,0.000346736,0.000346736
82,903.658,0.60932,0.56896,1.04726,0.72438,0.75331,0.77199,0.5637,0.99946,1.52806,1.43481,0.000330233,0.000330233,0.000330233
83,912.919,0.60193,0.55077,1.02996,0.69655,0.82081,0.80351,0.5932,0.96804,1.26614,1.44219,0.000313729,0.000313729,0.000313729
84,925.587,0.57925,0.51125,1.02326,0.86283,0.68529,0.80594,0.59174,0.98101,1.23729,1.45825,0.000297226,0.000297226,0.000297226
85,937.479,0.56187,0.48303,0.98941,0.78681,0.73333,0.80003,0.58992,1.0044,1.26181,1.47789,0.000280723,0.000280723,0.000280723
86,946.702,0.54693,0.50358,1.00635,0.83871,0.67317,0.7796,0.56655,1.04893,1.33522,1.50847,0.00026422,0.00026422,0.00026422
87,956.979,0.60608,0.55148,1.03636,0.83389,0.66389,0.76832,0.55238,1.06297,1.37629,1.52333,0.000247716,0.000247716,0.000247716
88,965.457,0.54561,0.47618,0.98575,0.71078,0.66389,0.73182,0.53068,1.09683,1.36064,1.55148,0.000231213,0.000231213,0.000231213
89,977.243,0.55528,0.479,1.00242,0.86441,0.63792,0.76391,0.55976,1.07589,1.36454,1.50297,0.00021471,0.00021471,0.00021471
90,987.681,0.52381,0.44997,0.9926,0.85542,0.63636,0.75348,0.56135,1.05026,1.41908,1.43358,0.000198206,0.000198206,0.000198206
91,999.917,0.42238,0.41439,0.91072,0.87959,0.65539,0.76568,0.54991,1.02218,1.38495,1.41064,0.000181703,0.000181703,0.000181703
92,1008.49,0.40439,0.38768,0.91663,0.86837,0.66263,0.78647,0.53137,1.03661,1.35966,1.4105,0.0001652,0.0001652,0.0001652
93,1017.84,0.43303,0.3619,0.90122,0.85253,0.67778,0.78919,0.53769,1.02113,1.2919,1.41595,0.000148696,0.000148696,0.000148696
94,1028.18,0.40632,0.38131,0.91557,0.8354,0.69167,0.78017,0.55216,0.99432,1.2486,1.42865,0.000132193,0.000132193,0.000132193
95,1036.96,0.39564,0.33625,0.89266,0.83232,0.70556,0.78552,0.54731,0.99098,1.22944,1.42875,0.00011569,0.00011569,0.00011569
96,1048.31,0.40689,0.3318,0.88789,0.84303,0.68823,0.78298,0.56018,0.98414,1.29629,1.42092,9.91865e-05,9.91865e-05,9.91865e-05
97,1058.97,0.43688,0.40428,0.93262,0.67497,0.70556,0.75264,0.54648,0.97036,1.3153,1.41918,8.26832e-05,8.26832e-05,8.26832e-05
98,1073.36,0.39766,0.35025,0.88941,0.67949,0.70556,0.73702,0.53606,0.9506,1.31655,1.41747,6.61799e-05,6.61799e-05,6.61799e-05
99,1082.82,0.36627,0.31311,0.88096,0.68602,0.69167,0.74509,0.54403,0.95036,1.35733,1.41246,4.96766e-05,4.96766e-05,4.96766e-05
100,1094.1,0.35606,0.31741,0.90442,0.70672,0.69167,0.74705,0.54411,0.96437,1.41366,1.41974,3.31733e-05,3.31733e-05,3.31733e-05
